"","District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref"
"643","2296","Greendale",2005-04-05,19500000,"Issue Debt",1925,2185,"Failed","cost of renovating and adding to the high school and acquiring related equipment",1
"644","2296","Greendale",2007-04-03,14665000,"Issue Debt",2696,2330,"Passed","renovations and improvements to existing school facilities; repair and replace windows, HVAC and other furnishings, fixtures and equipment, site improvements",1
"645","2296","Greendale",2018-11-06,33800000,"Issue Debt",5242,2614,"Passed","Issue debt for capital projects at all 5 schools including classroom additions and renovations, addition of multi-purpose rooms at 2 elementary schools, HVAC work at all 5 schools and other additions and renovations.",1
"646","2296","Greendale",1995-10-03,9990000,"Issue Debt",1508,1996,"Failed","76,000sq ft add to ms & dist wide remod",1
"647","2296","Greendale",1995-12-05,8400000,"Issue Debt",1545,2197,"Failed","76,000sq ft add to ms & dist wide remod",1
"648","2296","Greendale",1997-05-13,4900000,"Issue Debt",2522,827,"Passed","remodeling, and small addition to mid sch",1
"649","2296","Greendale",2000-11-07,2200000,"NR",5306,3098,"Passed","maintain existing educational programs",1
"650","2296","Greendale",2004-04-06,3300000,"NR - 2004",2847,2159,"Passed","maintain educational programs",1
"651","2303","Greenfield",2007-02-20,37800000,"Issue Debt",2277,1695,"Passed","High School renovations",1
"652","2303","Greenfield",2007-02-20,4350000,"Issue Debt",2087,1807,"Passed","Constructing and equipping a new High School auditorium",1
"653","2303","Greenfield",2008-04-01,5975000,"Issue Debt",3235,2977,"Passed","$5,975,000 for the cost of constructing a swimming pool addition to the high school and acquiring equipment and fixtures.",1
"654","2303","Greenfield",2008-04-01,410000,"Issue Debt",3342,2769,"Passed","$410,000 for the cost of demolition work; constructing a new utility building on the high school site and acquiring equipment and fixtures.",1
"655","2303","Greenfield",2002-04-02,45500000,"Issue Debt",2662,4043,"Failed","construct new HS facility, demolish existing school; site development; repair projects at various schools, equipment/furnishings/fixtures",1
"656","2303","Greenfield",2002-04-02,450000,"RR - 2004",2309,4455,"Failed","oeprating costs and maintenance of facilities",1
"657","2303","Greenfield",2003-04-01,4985000,"Issue Debt",2581,2498,"Passed","construct addition and/or remodel and improve Edgewood and Glenwood schools; furnishings/fixtures/equipment",1
"658","2303","Greenfield",2003-04-01,39900000,"Issue Debt",1962,3119,"Failed","demolish existing HS and construct new HS including pool; equipment/furnishings/fixtures",1
"659","2394","Greenwood",2016-04-05,3850000,"NR - 2016",605,435,"Passed","For non-recurring purposes to maintain academic, co-curricular and athletic programs for students, upgrade technology education equipment, and continued maintenance of district facilities.",1
"660","2394","Greenwood",1996-10-08,5300000,"Issue Debt",803,187,"Passed","addition and remodel junior and senior high",1
"661","2394","Greenwood",2001-04-03,325000,"RR - 2001",617,661,"Failed","maintain current levels of expenditures and operations",1
"662","2415","Gresham",2016-04-05,6e+06,"Issue Debt",314,481,"Failed","Issue debt to replace high school section of facility, raze the current high school, construct additional academic and administrative space in location of razed portion of building, and renovations to remaining facilities and parking improvements.",1
"663","2415","Gresham",2016-04-05,3200000,"Issue Debt",269,515,"Failed","Issue debt for the purpose of expanding academic, athletic, and recreational space at the school including a new gymnasium and locker rooms, replacing soccer field and track and field areas, additional parking.",1
"664","2415","Gresham",2018-11-06,6500000,"Issue Debt",491,388,"Passed","Issue debt not to exceed $6,500,000 for the construction, renovation, and demolition of parts of the existing school facility.",1
"665","2420","Hamilton",2018-02-20,57400000,"Issue Debt",4789,2974,"Passed","Construction and equipping of new Intermediate School and constructing and equipping an addition to High School  and related remodeling and renovations; and site improvements",1
"666","2420","Hamilton",2018-02-20,1500000,"RR - 2019",4424,3334,"Passed","Exceed the revenue limit by $1,500,000 for the 2019-2020 school year and thereafter, for recurring purposes consisting of operational expenses for the new intermediate school.",1
"667","2420","Hamilton",1997-11-04,3270000,"Issue Debt",1881,2184,"Failed","swim pool at high school and remodeling",1
"668","2420","Hamilton",1997-11-04,4780000,"Issue Debt",1969,2100,"Failed","auditorium at high school and remodeling",1
"669","2420","Hamilton",1997-11-04,17050000,"Issue Debt",2274,1809,"Passed","new elem school; add to & remodel elem & middle school",1
"670","2420","Hamilton",2002-11-05,6850000,"Issue Debt",5175,3539,"Passed","construct/equip addition to Marcy Elementary School, related remodeling/renovation",1
"671","2420","Hamilton",2002-11-05,6750000,"Issue Debt",4607,4012,"Passed","construct/equip fine arts learning center addition to HS including auditorium, additional classroom space, related remodeling/renovation",1
"672","2420","Hamilton",2002-11-05,124000,"RR - 2004",4299,4303,"Failed","operational expenses associated with fine arts learning center",1
"673","2443","Hartford J1",2007-11-06,24952000,"Issue Debt",801,1560,"Failed","public purpose of paying the cost of acquiring land and constructing and equipping a new elementary school facility including related site work; improving, adding to and renovating existing school facilities; and upgrading and replacing fixtures and equipment",1
"674","2443","Hartford J1",2007-11-06,593000,"RR - 2009",688,1651,"Failed","for recurring purposes in connection with the operation of the new elementary school facility",1
"675","2443","Hartford J1",2008-04-01,24952000,"Issue Debt",1191,2672,"Failed","acquire land and construct and equip a new elementary school facility including related site work; improving, adding to and renovating existing school facilities;and upgrading and replacing fixtures and equipment",1
"676","2443","Hartford J1",2008-04-01,593000,"RR - 2009",1110,2742,"Failed","costs in connection with the operation of the new elementary school facility",1
"677","2443","Hartford J1",2010-11-02,3700000,"Issue Debt",3198,3155,"Passed","paying the cost fo renovating, improving, and maintaining existing school facilities and acquiring equipment",1
"678","2443","Hartford J1",2010-11-02,5e+06,"Issue Debt",2359,3885,"Failed","paying the cost of renovating, improving and maintaining existing school facilities and acquiring equipment",1
"679","2443","Hartford J1",1999-11-02,7205000,"Issue Debt",970,411,"Passed","upgrade, remodel, improve, & equip elementary schools",1
"680","2436","Hartford UHS",1997-02-18,4600000,"Issue Debt",2641,1594,"Passed","high school expansion and remodeling",1
"681","2436","Hartford UHS",2000-11-07,2900000,"Issue Debt",7471,5423,"Passed","construct addition, remodeling and renovation of HS; site improvements; equipment/furnishings/fixtures",1
"682","2436","Hartford UHS",2002-11-05,2900000,"Issue Debt",4058,5196,"Failed","construct addition to and remodeling and renovating Hartford HS including site improvements, acquiring furnishings, fixtures and equipment",1
"683","2460","Hartland-Lakeside J3",2012-02-21,930000,"RR - 2012",637,725,"Failed","Maintaining facilities, services to students and meeting educational improvement standards from the State of Wisconsin and the School District.",1
"684","2460","Hartland-Lakeside J3",2012-08-14,3e+06,"NR - 2012",1130,1564,"Failed","To maintain services to students and meeting the educational standards from the State of Wisconsin and the School District.",1
"685","2460","Hartland-Lakeside J3",2001-02-20,8830000,"Issue Debt",902,762,"Passed","construct addition to/remodel/renovate Hartland North and South Elementary schools; acquire furnishings,fixture, equipment",1
"686","2460","Hartland-Lakeside J3",2001-02-20,425000,"Issue Debt",891,769,"Passed","demolish Lakeside Elementary school; renovate/improve Red School House",1
"687","2460","Hartland-Lakeside J3",2001-02-20,635000,"Issue Debt",690,972,"Failed","construct addition to Hartland North & South Elementary schools for 4 year old KGN; furnishings, fixture, equipment.",1
"688","2478","Hayward Community",2016-02-16,5640000,"NR - 2018",1061,1267,"Failed","To exceed the revenue limit by $1,410,000 for each of four years for technology updates  and facilities repairs.",1
"689","2478","Hayward Community",1998-05-19,16500000,"Issue Debt",1471,638,"Passed","new middle school; add to and remodel other schools",1
"690","2527","Highland",2011-04-05,535000,"Issue Debt",238,379,"Failed","cost of various capital improvements and equipment acquisitions including replacing a section of the roof",1
"691","2527","Highland",2015-04-07,450000,"Issue Debt",165,209,"Failed","Constructing and equipping a fitness center and storage area.",1
"692","2527","Highland",1995-03-01,4520000,"Issue Debt",415,300,"Passed","6-12 school on new site, ADD & ADA imprvmnts",1
"693","2527","Highland",1997-06-17,860000,"Issue Debt",143,170,"Failed","remodeling",1
"694","2534","Hilbert",2005-04-05,9405000,"Issue Debt",374,696,"Failed","cost of constructing and equipping a new elementary school and gymnasium at teh middle/high school campus and making renovations to the middle/high school building",1
"695","2534","Hilbert",2006-11-07,9500000,"Issue Debt",709,717,"Failed","construct/equip new elementary school at ms/hs campus and make renovations to ms/hs building",1
"696","2534","Hilbert",2007-04-03,9500000,"Issue Debt",597,816,"Failed","construct/equip new elementary school at middle/high school campus and make renovations to middle/high school building",1
"697","2534","Hilbert",2008-11-04,6815000,"Issue Debt",777,866,"Failed","constructing an addition to the middle/high school building; making renovations to the elementary and middle/high school buildings; and equipment acquisition related to said projects",1
"698","2534","Hilbert",2010-02-16,4700000,"Issue Debt",419,305,"Passed","cost of constructing an addition to the middle/high school building; making renovations to the elementary and middle/high school buildings; and equipment acquisition related to said projects",1
"699","2534","Hilbert",2015-04-07,11665000,"Issue Debt",472,433,"Passed","Building a new elementary school and gymnasium",1
"700","2534","Hilbert",2022-11-08,8270000,"Issue Debt",880,582,"Passed","This is to issue general obligation bonds not to exceed $8,270,000 for additions and renovations to our Career and Technical Education areas, band and choir areas, locker room/fitness areas, and our lunch room/commons area.",1
"701","2541","Hillsboro",2014-11-04,5e+05,"RR - 2014",607,731,"Failed","For recurring purposes consisting of maintaining educational programming and maintenance.",1
"702","2541","Hillsboro",2014-11-04,1250000,"Issue Debt",606,715,"Failed","Buildings and grounds improvements, including improvements to the high school library, parking lots and athletic field and surfaces.",1
"703","2541","Hillsboro",2018-11-06,2e+06,"NR - 2019",857,507,"Passed","For non-recurring purposes to maintain District facilities and current programs.",1
